,TI,AB,DP,MH,PMID,mir,is_mir_causal
89,Predictive value of 4-Hydroxyglutamate and miR-149-5p on eclampsia.,"This research aimed at exploring the predictive value of 4-Hydroxyglutamate and miR-149-5p on eclampsia. Preeclampsia patients admitted to our hospital (n = 204), with 112 mild patients and 92 severe patients. Thereinto, pregnant women who underwent physical examination were regarded as a normal group (NG) (n = 100). Serum 4-Hydroxyglutamate levels and miR-149-5p in each group were detected. The serum 4-Hydroxyglutamate level in pregnant women in the NG was markedly lower than that in preeclampsia, while the miR-149-5p level was higher (p = 0.001). The serum 4-Hydroxyglutamate level in severe preeclampsia was higher than that in mild preeclampsia, while the miR-149-5p level was lower (p = 0.001). Partial thromboplastin time (APTT) and prothrombin time (PT) of preeclampsia patients were lower than those of the NG, while Fibrinogen (Fib) was higher (p = 0.001). With the aggravation of the condition of patients, PT, APTT decreased and Fib index increased. In preeclampsia patients, serum 4-Hydroxyglutamate was negatively correlated with PT and APTT, positively correlated with Fib content (p < 0.001); serum miR-149-5p was dramatically positively correlated with PT and APTT, negatively correlated with Fib content (p < 0.001). 4-Hydroxyglutamate and miR-149-5p were relevant to the occurrence time of preeclampsia; 4-Hydroxyglutamate, miR-149-5p and their combination could be used for preeclampsia diagnosis. According to the situation of newborn, they were divided into good and poor groups. The 4-Hydroxyglutamate level in the good group was lower than that in the poor group, while the miR-149-5p level was higher. The adverse prognosis of preeclampsia patients was predicted by 4-Hydroxyglutamate and miR-149-5p. 4-Hydroxyglutamate is highly expressed in preeclampsia, while miR-149-5p is low. Single and combined detection of 4-Hydroxyglutamate, miR-149-5p can be used for preeclampsia diagnosis and prediction.",2021 Apr,"['Adult', 'Blood Coagulation', 'Eclampsia/blood/diagnosis/*genetics', 'Female', 'Glutamates/blood/*metabolism', 'Humans', 'Infant, Newborn', 'MicroRNAs/blood/genetics/*metabolism', 'Predictive Value of Tests', 'Pregnancy', 'Prognosis', 'ROC Curve']",33582167,hsa-mir-149,No
160,beta-arrestin1-mediated acetylation of Gli1 regulates Hedgehog/Gli signaling and modulates self-renewal of SHH medulloblastoma cancer stem cells.,"BACKGROUND: Aberrant Sonic Hedgehog/Gli (Hh/Gli) signaling pathway is a critical regulator of Sonic hedgehog medulloblastoma (SHH-MB). Cancer stem cells (CSCs), thought to be largely responsible for tumor initiation, maintenance, dissemination and relapse, have been identified in SHH-MB. Since we previously demonstrated that Hh/Gli signaling controls CSCs features in SHH-MB and that in these tumors miR-326 is down regulated, here we investigated whether there is a functional link between Hh/Gli signaling and miR-326. METHODS: We evaluated beta-arrestin1 (Arrb1) and its intragenic miR-326 levels in CSCs derived from SHH-MB. Subsequently, we modulated the expression of Arrb1 and miR-326 in CSCs in order to gain insight into their biological role. We also analyzed the mechanism by which Arrb1 and miR-326 control Hh/Gli signaling and self-renewal, using luciferase and protein immunoprecipitation assays. RESULTS: Low levels of Arrb1 and miR-326 represent a feature of CSCs derived from SHH-MB. We observed that re-expression of Arrb1 and miR-326 inhibits Hh/Gli signaling pathway at multiple levels, which cause impaired proliferation and self-renewal, accompanied by down regulation of Nanog levels. In detail, miR-326 negatively regulates two components of the Hh/Gli pathway the receptor Smoothened (Smo) and the transcription factor Gli2, whereas Arrb1 suppresses the transcriptional activity of Gli1, by potentiating its p300-mediated acetylation. CONCLUSIONS: Our results identify a new molecular mechanism involving miR-326 and Arrb1 as regulators of SHH-MB CSCs. Specifically, low levels of Arrb1 and miR-326 trigger and maintain Hh/Gli signaling and self-renewal.",2017 Jul 17,"['Cell Self Renewal', 'Gene Expression Regulation, Neoplastic', 'Hedgehog Proteins/genetics', 'Humans', 'Medulloblastoma/*genetics/pathology', 'MicroRNAs/*genetics', 'Neoplastic Stem Cells/metabolism/pathology', 'Signal Transduction/genetics', 'Zinc Finger Protein GLI1/*genetics', 'beta-Arrestin 1/*genetics']",28716052,hsa-mir-326,Yes
23,"Expression of mRNAs, miRNAs, and lncRNAs in Human Trabecular Meshwork Cells Upon Mechanical Stretch.","PURPOSE: Intraocular pressure (IOP), the primary risk factor for primary open-angle glaucoma, is determined by resistance to aqueous outflow through the trabecular meshwork (TM). IOP homeostasis relies on TM responses to mechanical stretch. To model the effects of elevated IOP on the TM, this study sought to identify coding and non-coding RNAs differentially expressed in response to mechanical stretch. METHODS: Monolayers of TM cells from non-glaucomatous donors (n = 5) were cultured in the presence or absence of 15% mechanical stretch, 1 cycle/second, for 24 hours using a computer-controlled Flexcell unit. We profiled mRNAs and lncRNAs with stranded total RNA sequencing and microRNA (miRNA) expression with NanoString-based miRNA assays. We used two-tailed paired t-tests for mRNAs and long non-coding RNAs (lncRNAs) and the Bioconductor limma package for miRNAs. Gene ontology and pathway analyses were performed with WebGestalt. miRNA-mRNA interactions were identified using Ingenuity Pathway Analysis Integrative miRNA Target Finder software. Validation of differential expression was conducted using droplet digital PCR. RESULTS: We identified 219 mRNAs, 42 miRNAs, and 387 lncRNAs with differential expression in TM cells upon cyclic mechanical stretch. Pathway analysis indicated significant enrichment of genes involved in steroid biosynthesis, glycerolipid metabolism, and extracellular matrix-receptor interaction. We also identified several miRNA master regulators (miR-125a-5p, miR-30a-5p, and miR-1275) that regulate several mechanoresponsive genes. CONCLUSIONS: To our knowledge, this is the first demonstration of the differential expression of coding and non-coding RNAs in a single set of cells subjected to cyclic mechanical stretch. Our results validate previously identified, as well as novel, genes and pathways.",2020 May 11,"['Cells, Cultured', 'Down-Regulation', 'Humans', 'MicroRNAs/*metabolism', 'RNA, Long Noncoding/*metabolism', 'RNA, Messenger/*metabolism', '*Stress, Mechanical', 'Trabecular Meshwork/*metabolism', 'Up-Regulation']",32392310,hsa-mir-1275,No
15,LEF1-AS1 accelerates tumorigenesis in glioma by sponging miR-489-3p to enhance HIGD1A.,"Long non-coding (lncRNA) lymphoid enhancer-binding factor 1 antisense RNA 1 (LEF1-AS1) has been validated to be implicated in manifold cancers, whereas its function in glioma has not been understood thoroughly. Hence, in this study, we tested that LEF1-AS1 expression was significantly upregulated in glioma tissues and cell lines. Besides, knockdown of LEF1-AS1 repressed cell proliferation while activated apoptosis in glioma cells in vitro, and also suppressed tumor growth in vivo. RNA pull-down and luciferase reporter assays affirmed that LEF1-AS1 could bind with miR-489-3p. In addition, miR-489-3p expression was downregulated in glioma cells. Moreover, miR-489-3p depletion partly offset LEF1-AS1 knockdown-mediated function on proliferation and apoptosis. Further, HIGD1A identified as the target gene of miR-489-3p was upregulated in glioma cells. HIGD1A silence could restrict the process of glioma. In rescue assays, upregulation of HIGD1A remedied the inhibitory impacts of LEF1-AS1 silence on glioma cell growth. In summary, our studies corroborated the regulatory mechanism of LEF1-AS1/miR-489-3p/HIGD1A axis in glioma, suggesting that targeting LEF1-AS1 might be a promising method for glioma therapy in the future.",2020 Aug 11,"['Apoptosis/genetics', 'Carcinogenesis/genetics', 'Cell Line, Tumor', 'Cell Movement/genetics', 'Cell Proliferation/genetics', 'Cell Transformation, Neoplastic/genetics', 'Gene Expression/genetics', 'Gene Expression Regulation, Neoplastic/genetics', 'Glioma/*genetics/metabolism', 'Humans', 'Intracellular Signaling Peptides and Proteins/genetics/*metabolism', 'Lymphoid Enhancer-Binding Factor 1/*genetics', 'MicroRNAs/genetics/metabolism', 'Mitochondrial Proteins/genetics/*metabolism', 'RNA, Antisense/genetics', 'RNA, Long Noncoding/genetics']",32826866,hsa-mir-489,Yes
122,microRNA-221 and microRNA-18a identification in stool as potential biomarkers for,"BACKGROUND: The detection of microRNA (miRNA) dysregulation in stool is a novel approach for the diagnosis of colorectal carcinoma (CRC). The aim of this study is to investigate the use of miR-221 and miR-18a in stool samples as non-invasive biomarkers for CRC diagnosis. METHODS: A miRNA expression array containing 667 miRNAs was performed to identify miRNA dysregulation in CRC tissues. We focused on miR-221 and miR-18a, two significantly upregulated miRNAs which were subsequently verified in 40 pairs of CRC tissues and 595 stool samples (198 CRCs, 199 polyps and 198 normal controls). RESULTS: miR-221 and miR-18a were upregulated in the miRNA expression array. miR-221 and miR-18a levels were also significantly higher in 40 CRC tumours compared with their respective adjacent normal tissues. In stool samples, miR-221 and miR-18a showed a significant increasing trend from normal controls to late stages of CRC (P<0.0001). The levels of stool miR-221 and miR-18a were both significantly higher in subjects with stages I+II (miR-221: P<0.0001, miR-18a: P<0.0001) and stages III+IV of CRC (miR-221: P=0.0004, miR-18a: P<0.0001) compared with normal controls. The AUC of stool miR-221 and miR-18a were 0.73 and 0.67 for CRC patients as compared with normal controls, respectively. No significant differences in stool miR-221 and miR-18a levels were found between patients with proximal and distal CRCs. The use of antibiotics did not influence stool miRNA-221 and miRNA-18a levels. CONCLUSIONS: Stool-based miR-221 can be used as a non-invasive biomarker for the detection of CRC.",2014,"['Aged', 'Biomarkers, Tumor/*genetics', 'Case-Control Studies', 'Colorectal Neoplasms/*diagnosis/*genetics', 'Feces/*chemistry', 'Female', 'Follow-Up Studies', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Male', 'MicroRNAs/*genetics', 'Middle Aged', 'Oligonucleotide Array Sequence Analysis', 'Prognosis', 'ROC Curve']",25233396,hsa-mir-221,No
14,MicroRNA-22: a Novel and Potent Biological Therapeutics in Neurological,"MicroRNAs (miRs) are regulatory RNAs with 18-25 nucleotides lengths involved in various biological processes. Some miRs, including miR-22, play an essential role in regulating neurological disorders. MiR-22 is a brain-enriched regulatory element involved in angiogenesis, energy supply, adjustment of ionic channels, and suppression of malignant cell proliferation, migration, and invasion. This article discusses the protective and therapeutic effects of miR-22 on neurological diseases and injuries, including cerebral ischemia, neurodegenerative diseases, epilepsy, and brain malignancies. We also correlated miR-22 with amyotrophic lateral sclerosis (ALS), multiple sclerosis (MS), panic disorders, schizophrenia, neural tube defect (anencephaly), and traumatic brain injury. This work provides a therapeutic perspective for miR-22 as a new approach in treating neurological disorders.",2022,"['*Amyotrophic Lateral Sclerosis/genetics/pathology/therapy', 'Brain/pathology', '*Brain Ischemia/pathology', 'Humans', '*MicroRNAs/genetics', '*Neurodegenerative Diseases/pathology']",35156160,hsa-mir-22,No
1012,MicroRNA profiling in kidney in pigs fed ochratoxin A contaminated diet.,"OTA is a toxic metabolite produced by fungus belonging to Aspergillus and Penicillium genera. Kidney is the main target of this toxin; OTA is considered as one of the etiological factors at the origin of the human Balkan endemic nephropathy. microRNA are short non-coding transcrips (18-22 nucleotides in length) regulating key cellular processes. Various miRNAs have been established to play important roles in development of renal carcinoma and urothelial cancer. The objective of this study is to analyse the miRNA profiling in the kidney of piglets experimentally intoxicated with feed contaminated with OTA. Fifteen piglets (five pigs/group) were randomly distributed into 3 groups, fed normal diet (Group 1: control), or diets contaminated with OTA in two concentrations: 50 μg OTA/kg feed (Group 2: 50 μg OTA/kg feed) or 200 μg OTA/kg feed (Group 3: 200 μg OTA/kg feed) for 28 days. At the end of the experiment blood samples were taken for serological analyses. Animals from control group and 200 μg OTA/kg feed were sacrificed and kidney samples were taken for histological and molecular analyses. As resulted from molecular profiling study there are 8 miRNA differentially expressed in OTA kidney vs control kidney, in which five miRNA were overexpressed in the kidney of OTA intoxicated animals: miR-497 (FC = 6.34), miR-133a-3p (FC = 5.75), miR-423-3p (FC = 5.48), miR-34a (FC = 1.68), miR-542-3p (1.65) while three miRNA were downregulated: miR-421-3p (FC = -3.96); miR-490 (FC = -3.87); miR-9840-3p (FC = -2.13). The altered miRNAs as effect of OTA are strongly connected to the engine of cancer, disturbing nodal points in different pathways, as TP53 signalling. This proof-of-concept study proves the actual utility of miRNAs as biomarkers of mycotoxin exposure, including OTA.",2019,"['Animal Feed/analysis', 'Animals', 'Biomarkers/blood', 'Food Contamination/analysis', 'Humans', 'Kidney/*drug effects/metabolism/pathology', 'Male', 'MicroRNAs/*genetics/metabolism', 'Models, Theoretical', 'Ochratoxins/analysis/*toxicity', 'Random Allocation', '*Swine', 'Transcriptome/*drug effects']",31499447,hsa-mir-34a,No
68,Circulating miR-148b-3p and miR-27a-3p can be potential biomarkers for diagnosis,"BACKGROUND: In view of the growing global prevalence of type 2 diabetes (T2D), detection of prediabetes and type 2 diabetes in the early stages is necessary to reduce the risk of developing diabetes, prevent the progression of the disease, and dysfunction of different organs. Since miRNAs are involved in the initiation and progression of numerous pathogenic processes, including diabetes, in the present study, we aimed to investigate the expression of miR-148b-3p and miR-27a-3p in prediabetic and T2D patients and to evaluate the diagnostic potential of these miRNAs. METHODS: We evaluated the expression of miR-148b-3p and miR-27a-3p in the plasma of three groups: 20 prediabetic patients, 20 T2D patients, and 20 healthy controls. The biochemical parameters were determined by the auto-analyzer. The possible target genes of these miRNAs were identified using an in-silico approach. RESULTS: Our results showed that, as compared to the healthy controls, there was a significant up regulation and down regulation in the expression of miR-148b-3p and miR-27a-3p in the T2D patients, respectively. The results of receiver operating characteristic curve analysis also suggested that miR-148b-3p acted successfully in discriminating the prediabetic and diabetic patients from the control group. According to in-silico analysis, miRs influence biological pathways involved in T2DM development, such as insulin signaling. CONCLUSIONS: The miR148b-3p and miR-27a-3p expression levels were deregulated in diabetes and pre-diabetes. Furthermore, miR-148b-3p showed significant ability in discriminating between diabetic and healthy individuals, suggesting a potential diagnostic use of miR-148b-3p in the detection of T2D.",2022,"['Biomarkers', '*Diabetes Mellitus, Type 2/diagnosis/genetics', 'Down-Regulation', 'Humans', '*MicroRNAs', '*Prediabetic State/diagnosis/genetics']",35978298,hsa-mir-27a,No
229,MicroRNA-143 and -205 expression in neosquamous esophageal epithelium following,"INTRODUCTION: Ablation of Barrett's esophagus using Argon plasma coagulation (APC) is usually followed by the formation of a neosquamous epithelium. Investigating simple columnar or stratified squamous epithelium associated cytokeratin and microRNA (miRNA) expression in neo-squamous epithelium could help determine the identity and stability of the neosquamous epithelium. METHODS: Nine patients underwent ablation of Barrett's esophagus with APC. Biopsies were collected from Barrett's esophagus mucosa and proximal normal squamous epithelium before ablation, and from neosquamous and normal squamous epithelium after ablation. Additional esophageal mucosal biopsies from ten nonrefluxing subjects were used as a reference. RNA was extracted and real-time polymerase chain reaction was used to measure the expression of the cytokeratins CK-8 and CK-14 and the microRNAs miR-143 and miR-205. RESULTS: CK-8 and miR-143 expression were significantly higher in Barrett's esophagus mucosa, compared to neosquamous and normal squamous epithelium before and after APC, whereas miRNA-205 and CK-14 expression was significantly lower in Barrett's esophagus mucosa compared to all categories of squamous mucosa. The expression of CK-8, CK-14, miR-205, and miR-143 was similar between neosquamous epithelium compared to normal squamous epithelium in patients with Barrett's esophagus. Only miR-143 expression was significantly higher in neosquamous and normal squamous epithelium before and after APC compared to normal squamous epithelium from control subjects (p < 0.004). CONCLUSIONS: The expression levels of cytokeratins and miRNAs studied in post-ablation neosquamous epithelium and normal squamous epithelium in patients with Barrett's esophagus are similar. In patients with Barrett's esophagus, miR-143 expression is still elevated in both neosquamous mucosa, and the squamous mucosa above the metaplastic segment, suggesting that this mucosa may not be normal; i.e., it is different to that seen in subjects without Barrett's esophagus. miR-143 could promote a Barrett's epithelium gene expression pattern, and this could have a role in development of Barrett's esophagus.",2009,"['Barrett Esophagus/genetics/pathology/*surgery', 'Biomarkers/metabolism', 'Cohort Studies', 'Humans', 'Keratin-14/genetics/*metabolism', 'Keratin-8/genetics/*metabolism', '*Laser Coagulation', 'Lasers, Gas/therapeutic use', 'MicroRNAs/genetics/*metabolism', 'Mucous Membrane/metabolism/pathology/physiopathology', 'RNA, Messenger/metabolism', 'Regeneration/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction']",19190970,hsa-mir-143,No
90,Tissue and serum microRNA profile of oral squamous cell carcinoma patients.,"Head and neck cancer is characterized by malignant tumors arising from the epithelium covering the upper aerodigestive tract, and the majority of these epithelial malignancies are squamous cell carcinomas (SCCs) of the oral cavity (OSCCs). The aim of the current work was to identify miRNAs regulated in OSCC cancerous tissue when compared to a healthy adjacent tissue and to verify the presence of the same miRNAs in the circulation of these patients. For that serum samples and biopsies of healthy and tumor tissues were collected from five patients diagnosed with OSCC of the oral cavity, RNA was extracted from these samples and microRNAs libraries were prepared and sequenced. A total 255 miRNAs were identified in tissue and 381 different miRNAs were identified in serum samples. When comparing the miRNA expression between tumor and healthy tissue we identified 48 miRNAs (25 down- and 23 up-regulated) that were differentially expressed (FDR < 0.05). From these 48 differentially expressed miRNAs in tissue, 30 miRNAs were also found in the serum of the same patients. hsa-miR-32-5p was up-regulated in tumor compared to healthy tissue in our study, and was previously shown to be up-regulated in the serum of OSCC patients. Therefore, this suggests that miRNAs can be used as potential non-invasive biomarkers of OSCC.",2018,"['Aged', 'Biomarkers, Tumor/blood/genetics', 'Carcinoma, Squamous Cell/blood/*genetics', 'Female', 'Gene Expression Profiling/*methods', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Male', 'MicroRNAs/blood/*genetics', 'Middle Aged', 'Mouth Neoplasms/blood/*genetics', 'Sequence Analysis, RNA/*methods', 'Up-Regulation']",29330429,hsa-mir-32,No
439,MicroRNA 34a contributes to virus-mediated apoptosis through binding to its,"OBJECTIVE: Influenza A virus is a cytolytic virus that induces apoptosis in numerous cell types. However, molecular mechanism of cell apoptosis induced by influenza A virus is not well understood. The present study was aimed to investigate the molecular mechanism of miR-34a involved in influenza A virus induced apoptosis. METHODS: Firstly, microRNA array was used to select miRNAs involved in influenza A virus infection. Then, Luciferase reporter assay and western blot were carried to determine the target gene of miR-34a. Finally, miR-34a mimic was transfected in influenza A virus-infected A549 cells, and western blot was used to test the function of miR-34a and its target gene in in influenza A virus infection. RESULTS: miR-34a was found significantly down-regulated in influenza A virus-infected A549 cells and was further confirmed by qRT-PCR in vitro and in vivo (P<0.01). Next, transfection miR-34 mimic/inhibitor in influenza A virus-infected A549 cells showed that overexpression of miR-34a could inhibit influenza virus-induced apoptosis. Furthermore, target prediction analysis revealed that miR-34a complemented to the 3'-UTR of Bax mRNA. Luciferase reporter assay and western blot confirm that miR-34a directly targeted Bax. Moreover, we detected influenza virus infection enhanced the luciferase reporter translational activity in A549 cells transfected with the construct with Bax 3'-UTR encoding miR-34a binding site. However, western blot analysis showed that the up-regulation of Bax protein level was significantly reversed by overexpression miR-34a. CONCLUSION: It is, therefore, concluded that influenza virus infection regulated pro-apoptotic Bax expression through miR-34a downregulation, which might be the partial mechanism of influenza virus-induced cell apoptosis.",2016,"['A549 Cells', 'Adolescent', 'Adult', 'Apoptosis/drug effects/*physiology', 'Child', 'Child, Preschool', 'Female', 'Gene Targeting/*methods', 'HEK293 Cells', 'Humans', 'Influenza A virus/drug effects/genetics/*metabolism', 'Influenza, Human/drug therapy/genetics/*metabolism', 'Male', 'MicroRNAs/administration & dosage/genetics/*metabolism', 'Middle Aged', 'Protein Binding/physiology', 'Young Adult', 'bcl-2-Associated X Protein/genetics/*metabolism']",27610823,hsa-mir-34a,Yes
1724,Diagnostic value of the candidate microRNAs in thyroid fine-needle aspiration,"Background Thyroid cancer (TC) is known to be the most common endocrine malignancy with an incidence rate which has increased by 2.3-fold over the past 30 years. Approximately, 30% of the thyroid fine-needle aspiration biopsy (FNAB) outcomes are indecisive. Moreover, researchers recognized multiple differentially expressed microRNAs (miRNAs) as candidate diagnostic markers for thyroid nodules. The purpose of this study was to identify thyroid tumor-associated miRNAs in FNAB with the capacity to be developed as unique biomarkers. Materials and methods According to the study design, a quantitative real time reverse transcription polymerase chain reaction (qRT-PCR) was applied to evaluate the expression levels of nine miRNAs (Let7, miR-34a, miR-146b, miR-221, miR-151, miR-155, miR-181b, miR-222 and miR-375) among 224 FNA samples as the training set. Results The findings of this study revealed that miR-181b and miR-146b are the best predictors to diagnose benign thyroid FNA samples from malignant samples. However, the remaining miRNAs were co-expressed and had no significant effect on the predictor model. On the other hand, sensitivity and specificity of miR-181b and miR-146b were reported at 83.0%-83.0% and 83.0%-66.0%, respectively. Conclusions According to the results of this study, miR-146b and miR-181b might be considered as adjunct markers contributing to thyroid FNAB in tumor types. In addition, miR-146b and miR-181b were recognized as biomarkers for discriminating benign thyroid nodules from malignant ones. It is suggested that further prospective clinical trials be conducted to evaluate the accuracy of such findings in a larger cohort and determine the clinical uses.",2020,"['Adult', 'Area Under Curve', 'Biomarkers, Tumor', '*Biopsy, Fine-Needle', 'False Positive Reactions', 'Female', 'Humans', 'Male', 'MicroRNAs/*analysis', 'Middle Aged', 'RNA, Neoplasm/analysis', 'ROC Curve', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sensitivity and Specificity', 'Thyroid Diseases/*diagnosis/genetics/pathology', 'Thyroid Gland/*chemistry/pathology', 'Thyroid Neoplasms/chemistry/diagnosis/genetics/pathology', 'Thyroid Nodule/chemistry/diagnosis/genetics/pathology', 'Up-Regulation']",32167927,hsa-mir-34a,Yes
