TI,AB,DP,MH,PMID,mir,is_mir_causal,note
Identification of candidate microRNA biomarkers in diabetic nephropathy: a,"AIMS: The aim was to perform a meta-analysis on the miRNA expression profiling studies in diabetic nephropathy (DN) to identify candidate diagnostic biomarkers. METHODS: A comprehensive literature search was done in several databases and 53 DN miRNA expression studies were selected. To identify significant DN-miR meta-signatures, two meta-analysis methods were employed: vote-counting strategy and the robust rank aggregation method. The targets of DN-miRs were obtained and a gene set enrichment analysis was carried out to identify the pathways most strongly affected by dysregulation of these miRNAs. RESULTS: We identified a significant miRNA meta-signature common to both meta-analysis approaches of three up-regulated (miR-21-5p, miR-146a-5p, miR-10a-5p) and two down-regulated (miR-25-3p and miR-26a-5p) miRNAs. Besides that, subgroup analyses divided and compared the differentially expressed miRNAs according to species (human and animal), types of diabetes (T1DN and T2DN) and tissue types (kidney, blood and urine). Enrichment analysis confirmed that DN-miRs supportively target functionally related genes in signaling and community pathways in DN. CONCLUSION: Five highly significant and consistently dysregulated miRNAs were identified, and future studies should focus on discovering their potential effect on DN and their clinical value as DN biomarkers and therapeutic mediators.",2018,"['Diabetic Nephropathies/diagnosis/*genetics/metabolism', 'Disease Progression', 'Gene Expression Profiling/*methods', 'Gene Expression Regulation', 'Genetic Markers', 'Humans', 'MicroRNAs/*genetics/metabolism', 'Signal Transduction', '*Transcriptome']",30019103,hsa-mir-21,no,
Quantitative Prediction of Steatosis in Patients with Non-Alcoholic Fatty Liver,"Non-alcoholic fatty liver disease (NAFLD) is the most prevalent form of chronic liver disease worldwide, but a reliable non-invasive method to quantify liver steatosis in primary healthcare is not available. Circulating microRNAs have been proposed as biomarkers of severe/advanced NAFLD (steatohepatitis and fibrosis). However, the use of circulating miRNAs to quantitatively assess the % of liver fat in suspected NAFLD patients has not been investigated. We performed global miRNA sequencing in two sets of samples: human livers from organ donors (n = 20), and human sera from biopsy-proven NAFLD patients (n = 23), both with a wide range of steatosis quantified in their liver biopsies. Partial least squares (PLS) regression combined with recursive feature elimination (RFE) was used to select miRNAs associated with steatosis. Moreover, regression models with only 2 or 3 miRNAs, with high biological relevance, were built. Comprehensive microRNA sequencing of liver and serum samples resulted in two sets of abundantly expressed miRNAs (418 in liver and 351 in serum). Pearson correlation analyses indicated that 18% of miRNAs in liver and 14.5% in serum were significantly associated with the amount of liver fat. PLS-RFE models demonstrated that 50 was the number of miRNAs providing the lowest error in both liver and serum models predicting steatosis. Comparison of the two miRNA subsets showed 19 coincident miRNAs that were ranked according to biological significance (guide/passenger strand, relative abundance in liver and serum, number of predicted lipid metabolism target genes, correlation significance, etc.). Among them, miR-10a-5p, miR-98-5p, miR-19a-3p, miR-30e-5p, miR-32-5p and miR-145-5p showed the highest biological relevance. PLS regression models with serum levels of 2-3 of these miRNAs predicted the % of liver fat with errors &lt;5%.",2022,"['*Circulating MicroRNA/genetics/metabolism', 'Humans', 'Lipid Metabolism', 'Liver/metabolism', '*MicroRNAs/metabolism', '*Non-alcoholic Fatty Liver Disease/metabolism']",36012565,hsa-mir-30e,no,
A capillary electrophoresis method for identifying forensically relevant body,"Body fluid identification (BFID) can provide crucial information during the course of an investigation. In recent years, microRNAs (miRNAs) have shown considerable body fluid specificity, are able to be co-extracted with DNA, and their small size (18-25 nucleotides) make them ideal for analyzing highly degraded forensic samples. In this study, we designed a preliminary 8-marker system for BFID including an endogenous reference gene (let-7g) to differentiate between venous blood (miR-451a and miR-142-3p), menstrual blood (miR-141-3p and miR-412-3p), semen (miR-891a and miR-10b), and saliva (miR-205) using a capillary electrophoresis approach. This panel uses a linear primer system in order to incorporate additional miRNA markers by forming a multiplex system. The miRNA system was able to distinguish between venous blood, menstrual blood, semen, and saliva using a rudimentary data interpretation strategy. All STR amplifications from co-extracted DNA yielded complete profiles from human identification purposes.",2018,"['Body Fluids/*chemistry', 'Electrophoresis, Capillary/*methods', 'Forensic Genetics/*methods', 'Humans', 'MicroRNAs/*analysis', 'Specimen Handling/methods']",29125963,hsa-mir-205,no,
MiR-21 up-regulation in ampullary adenocarcinoma and its pre-invasive lesions.,"Poor information is available on the molecular landscape characterizing the carcinogenetic process leading to ampullary carcinoma. MiR-21 is one of the most frequently up-regulated miRNAs in pancreatic adenocarcinoma, a tumor sharing similar molecular features with ampullary adenocarcinomas (AVCs), above all with the pancreatic-biliary type. We profiled, by in situ hybridization (ISH), miR-21 expression in a series of 26 AVCs, 50 ampullary dysplastic lesions (35 low-grade [LG-IEN] and 15 high-grade [HG-IEN]) and 10 normal duodenal mucosa samples. The same series was investigated by immunohistochemistry for ?э-catenin, p53 and HER2 expression. HER2 gene amplification was evaluated by chromogenic in situ hybridization. To validate miR-21 ISH results we performed miR-21 qRT-PCR analysis in a series of 10 AVCs and their matched normal samples. All the normal control samples showed a negative or faint miR-21 expression, whereas a significant miR-21 up-regulation was observed during the carcinogenetic cascade (p < 0.001), with 21/26 (80.8%) of cancer samples showing a miR-21 overexpression. In comparison to control samples, a significant overexpression was found in samples of LG-IEN (p = .0003), HG-IEN (p = .0001), and AVCs (p < 0.0001). No significant difference in miR-21 overexpression was observed between LG-IEN, HG-IEN and AVCs. By qRT-PCR analysis, AVCs showed a 1.7-fold increase over the controls (p = .003). P53 was frequently dysregulated in both dysplastic and carcinoma samples (44 out of 76; 57.9%). A 20% (10/50) of dysplastic lesions and 11% (3/26) of carcinomas were characterized by a nuclear localization of ?э-catenin. Only 2 AVCs (7.7%; both intestinal-type) showed a HER2 overexpression (both 2+), which corresponded to a HER2 gene amplification at CISH analysis. This is the first study demonstrating a miRNA dysregulation in the whole spectrum of ampullary carcinogenesis. MiR-21 overexpression is an early molecular event during ampullary carcinogenesis and its levels increase with the neoplastic progression.",2018,"['Adenoma/pathology', 'Aged', 'Ampulla of Vater/*pathology', 'Carcinoma, Pancreatic Ductal/genetics/*pathology', 'Common Bile Duct Neoplasms/pathology', 'Disease Progression', 'Female', 'Humans', 'Male', 'MicroRNAs/*biosynthesis', 'Middle Aged', 'Neoplasm Invasiveness', 'Pancreatic Neoplasms/genetics/*pathology', 'Precancerous Conditions/genetics/*pathology', 'Retrospective Studies', 'Up-Regulation']",29731265,hsa-mir-21,no,
Interactions between microRNA-200 family and Sestrin proteins in endometrial,"In the present study, we intend to determine whether Sestrin proteins 1, 2, and 3 (SESN1-3) are targets of microRNA-200 family (miR-200) in endometrial cancer (EC) Ishikawa, AN3CA, KLE, and RL 95-2 cell lines and to investigate how these potential interactions influence anoikis resistance of EC cell lines. The luciferase reporter assay, qRT-PCR, and western blotting assays were used to verify whether SESN1-3 are direct targets of miR-200. Moreover, the anoikis assay and transient transfections of miR-200 mimics or inhibitors into EC cell lines were performed to evaluate the modulatory role of miR-200 and SESN proteins on anoikis resistance. We demonstrated that SESN2 protein is a direct target of mir-141 in KLE and RL-95-2 EC cell lines and the functional interaction of miR-141 and SESN2 protein has a downstream effect on anoikis resistance and SESN2 expression level in Ishikawa and AN3CA cell lines. Moreover, we have shown that SESN3 protein is a direct target of miR-200b, miR-200c, and miR-429 in Ishikawa, AN3CA, and KLE cell lines. Our results show that manipulation of miR-200b, miR-200c, and miR-429 expression patterns also has an influence on anoikis resistance in EC cell lines. In conclusion, we identified new interactions between miR-200 and the oxidative stress response SESN proteins that affect anoikis resistance in human EC cells.",2019,"['*Anoikis', 'Cell Line, Tumor', 'Endometrial Neoplasms/genetics/*metabolism/pathology', 'Female', 'Heat-Shock Proteins/genetics/*metabolism', 'Humans', 'MicroRNAs/genetics/*metabolism', 'Neoplasm Proteins/genetics/*metabolism', 'RNA, Neoplasm/genetics/*metabolism']",31073887,hsa-mir-200b,yes,
"Identification of miR-130a, miR-27b and miR-210 as serum biomarkers for","BACKGROUND: Arteriosclerosis obliterans (ASO) is a kind of peripheral arterial disease. Most patients with ASO have no apparent clinical symptoms early on, but a diagnosis at the early stage is essential to prevent progression. Unfortunately, the specific and sensitive markers for ASO are still lacking currently. In this study, using both tissue samples and blood samples obtained from ASO patients, we aim to find a cluster of miRNAs that can be used as new risk-markers for the diagnosis of ASO in the earlier stages. METHODS: We enrolled 104 patients diagnosed with ASO and 105 age-matched controls. We examined the expression levels of a series of miRNAs in both intima samples and serum samples from these patients. RESULTS: Levels of miR-21, miR-130a, miR-27b, let-7f and miR-210 significantly increased, while levels of miR-221 and miR-222 significantly decreased in the sclerotic samples compared with normal samples. Significant increase of miR-130a, miR-27b and miR-210 expression was observed in the serum samples of ASO patients. Moreover, the expression of miR-130a and miR-27b in sera of ASO patients was positively correlated with Fontaine stages. CONCLUSIONS: The serum levels of miR-130a, miR-27b and miR-210 may serve as potential biomarkers for early stage ASO.",2011,"['Arteriosclerosis Obliterans/*blood/diagnosis/*genetics', 'Biomarkers/blood', 'Gene Expression Regulation', 'Humans', 'MicroRNAs/*blood/*genetics', 'Peripheral Arterial Disease/blood/diagnosis/genetics', 'Risk', 'Tunica Intima/metabolism']",20888330,hsa-mir-210,no,
Identification of serum microRNAs as diagnostic and prognostic biomarkers for acute pancreatitis.,"BACKGROUND/OBJECTIVES: To identify serum microRNA (miRNA) as diagnostic and prognostic biomarkers for acute pancreatitis (AP). MATERIALS AND METHODS: Sera microRNA expression was profiled from 12 AP patients with varying disease severity and three healthy controls. Differentially expressed miRNAs were validated in a larger cohort of patients and controls. The diagnostic and prognostic potentials of differentially expressed miRNAs were evaluated using receiver operating characteristic (ROC) curve analysis and compared to that of classic prognostic markers for AP. RESULTS: miRNA microarray analyses identified 205 differentially expressed miRNAs between sera from AP patients and that from controls. Nine miRNAs were differentially expressed between severe and mild AP patients. Further validation confirmed the down-regulation of miR-92b, miR-10a, and miR-7 in AP patients, and ROC analysis revealed that these miRNAs can differentiate AP from health cases. Furthermore, the serum miR-551b-5p level was significantly higher in patients with disease complications or a low plasma calcium level. ROC analysis showed that the serum miR-551b-5p level can distinguish between severe and mild AP. CONCLUSION: The expressions of miR-92b, miR-10a, and miR-7 in AP might be used for the early diagnosis of AP and miR-551b-5p may be used for predicting AP severity.",2014 May-Jun,"['Adult', 'Biomarkers/blood', 'Case-Control Studies', 'Down-Regulation', 'Female', 'Gene Expression Profiling', 'Humans', 'Male', 'MicroRNAs/*blood', 'Middle Aged', 'Oligonucleotide Array Sequence Analysis', 'Pancreatitis/blood/*diagnosis/genetics', 'Prognosis', 'ROC Curve', 'Reverse Transcriptase Polymerase Chain Reaction', 'Severity of Illness Index']",24854610,hsa-mir-551b,no,
Genome-wide pharmacologic unmasking identifies tumor suppressive microRNAs in multiple myeloma.,"Epigenetic alterations have emerged as an important cause of microRNA (miRNA) deregulation. In Multiple Myeloma (MM), a few tumor suppressive miRNAs silenced by DNA hypermethylation have been reported, but so far there are few systemic investigations on epigenetically silenced miRNAs. We conducted genome-wide screening for tumor suppressive miRNAs epigenetically silenced in MM. Four Human MM Cell lines were treated with demethylating agent 5'azacytidine (5'aza). Consistently upregulated miRNAs include miR-155, miR-198, miR-135a*, miR-200c, miR-125a-3p, miR-188-5p, miR-483-5p, miR-663, and miR-630. Methylation array analysis revealed increased methylation at or near miRNA-associated CpG islands in MM patients. Ectopic restoration of miR-155, miR-198, miR-135a*, miR-200c, miR-663 and miR-483-5p significantly repressed MM cell proliferation, migration and colony formation. Furthermore, we derived a 33-gene signature from predicted miRNA target genes that were also upregulated in MM patients and associated with patient survival in three independent myeloma datasets. In summary, we have revealed important, epigenetically silenced tumor suppressive miRNAs by pharmacologic reversal of epigenetic silencing.",2015 Sep 22,"['Biomarkers, Tumor/*genetics/metabolism', 'Cell Line, Tumor', 'Cell Movement', 'Cell Proliferation', 'Computational Biology', 'DNA Methylation/*drug effects', 'DNA Modification Methylases/antagonists & inhibitors/metabolism', 'Enzyme Inhibitors/pharmacology', 'Gene Expression Profiling/methods', 'Gene Expression Regulation, Neoplastic', 'Gene Silencing/*drug effects', 'Genetic Predisposition to Disease', 'Genome-Wide Association Study', 'Humans', 'MicroRNAs/*genetics/metabolism', 'Multiple Myeloma/*genetics/metabolism/mortality/pathology', 'Oligonucleotide Array Sequence Analysis', 'Phenotype', 'Proportional Hazards Models']",26164366,hsa-mir-630,yes,
MicroRNA-dependent regulation of PTEN after arsenic trioxide treatment in bladder,"Arsenic trioxide has shown remarkable biological activity against bladder cancer in some clinical studies. However, the mechanism of its action is unknown. Our aim was to find the relationship between miRNAs and arsenic trioxide treatment by using T24 human bladder carcinoma cells. By performing microRNA microarray and quantitative real-time PCR after ATO treatment, we found that expression levels of several miRNAs, in particular, miRNA-19a, were significantly decreased in T24 cell line. Furthermore, cell proliferation assay, flow cytometry analysis, prediction of miRNA targets, Western blot analysis, and luciferase reporter assay were performed to determine the role of mir-19a in affecting the biological behaviors of T24 cells. Several miRNAs were up-regulated or down-regulated in T24 cells treated with arsenic trioxide compared to their controls. If only changes above two folds were considered, two miRNAs were identified, miRNA-19a was down-regulated, while miRNA-222* was up-regulated. Among them, knockdown of miRNA-19a by anti-miRNA-19a transfection showed a positive therapeutic effect in bladder cancer cells by inhibiting cell growth and inducing cell apoptosis targeting PTEN through the PTEN/Akt pathway. Besides this, a synergy effect was detected between knockdown of miRNA-19a and arsenic trioxide. Arsenic trioxide altered miRNA expression profile in T24 cells. It seems miRNA-19a plays a critical role in the mechanism of arsenic trioxide treatment in bladder cancer. The synergy effect between miRNA-19a and arsenic trioxide that advocates targeting the mir-19a may represent a potential approach to enhance the efficacy and safety of ATO to treat bladder cancer by a decrease in dose.",2011,"['Antineoplastic Agents/*pharmacology', 'Apoptosis/drug effects', 'Arsenic Trioxide', 'Arsenicals/*pharmacology', 'Biomarkers, Tumor/genetics/metabolism', 'Blotting, Western', 'Cell Proliferation/drug effects', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic/*drug effects', 'Humans', 'Luciferases/metabolism', 'MicroRNAs/*physiology', 'Oligonucleotide Array Sequence Analysis', 'Oxides/*pharmacology', 'PTEN Phosphohydrolase/*genetics/metabolism', 'RNA, Messenger/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tumor Cells, Cultured', 'Urinary Bladder Neoplasms/*drug therapy/*genetics/pathology']",20857258,hsa-mir-19a,yes,
"Role of microRNAs in vascular diseases, inflammation, and angiogenesis.","The integrity of the endothelial monolayer is fundamental for the homoeostasis of the vascular system. Functional endothelial cells are also required for the growth of new blood vessels during neovascularization. Although multiple growth factors have been shown to regulate angiogenesis and vascular development, little is known about the complex upstream regulation of gene expression and translation. MicroRNAs (miRNAs) are an emerging class of highly conserved, non-coding small RNAs that regulate gene expression on the post-transcriptional level by inhibiting the translation of protein from mRNA or by promoting the degradation of mRNA. More than 500 human miRNAs have been identified so far, and increasing evidence indicates that miRNAs have distinct expression profiles and play crucial roles in various physiological and pathological processes such as cardiogenesis, haematopoietic lineage differentiation, and oncogenesis. Meanwhile, a few specific miRNAs that regulate endothelial cell functions and angiogenesis have been described. Let7-f, miR-27b, and mir-130a were identified as pro-angiogenic miRNAs. In contrast, miR-221 and miR-222 inhibit endothelial cell migration, proliferation, and angiogenesis in vitro by targeting the stem cell factor receptor c-kit and indirectly regulating endothelial nitric oxide synthase expression. Moreover, some miRNAs are involved in tumour angiogenesis such as the miR-17-92 cluster and miR-378. Early studies also indicate the contribution of specific miRNAs (e.g. miR-155, miR-21, and miR-126) to vascular inflammation and diseases. Thus, the identification of miRNAs and their respective targets may offer new therapeutic strategies to treat vascular diseases such as atherosclerosis, to improve neovascularization after ischaemia, or to prevent tumour progression.",2008,"['Animals', 'Endothelium, Vascular/enzymology/*metabolism', '*Gene Expression Regulation', 'Genetic Therapy', 'Humans', 'Inflammation/*genetics/physiopathology/therapy', 'MicroRNAs/*metabolism', 'Neovascularization, Physiologic/*genetics', 'RNA Processing, Post-Transcriptional', 'Ribonuclease III/metabolism', 'Vascular Diseases/*genetics/physiopathology/therapy']",18550634,hsa-mir-27b,no,
[Correlation between Plasma microRNA Expression and Acute Graft-Versus-Host Disease after Allogeneic Hematopoietic Stem Cell Transplantation].,"OBJECTIVE: To investigate the microRNA (miRNA) expression in plasma of patients with aGVHD and without aGVHD after allo-hematopoietic stem cell transplantation (allo-HSCT). METHODS: The miRNAs (miR-423, mirR199a-3p, miR93*, miR377) expression levels in peripheral blood plasma of 25 patients before and after allo-HSCT were detected by real-time PCR. RESULTS: miR-423, miR199a-3p and miR-93* in aGVHD group were significantly upregulated (P<0.05); miR-377 expression was not significantly different between aGVHD and non-aGVHD (P>0.05). CONCLUSION: The expression of miR-423, miR-199a-3p, miR-93* are upregulated in aGVHD group, which can be used as biomarkes to monitor and to diagnose aGVHD.",2016 Jun,"['Biomarkers/blood', 'Graft vs Host Disease/blood/*pathology', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'MicroRNAs/*blood', 'Real-Time Polymerase Chain Reaction', 'Up-Regulation']",27342518,hsa-mir-377,no,
Circulating microRNAs correlate to clinical parameters in individuals with,"BACKGROUND: Asthma is a chronic airway disease affecting millions of people. Better methods to define asthma subgroups using clinical parameters and molecular biomarkers are crucial in the development of personalized medicine. OBJECTIVE: The aim of this study was to determine if circulating microRNAs (miRNAs) may be used to distinguish well-defined asthma groups. METHODS: Blood serum from 116 well-defined subjects, including healthy controls and individuals with allergic or non-allergic asthma, from the West Sweden Asthma Study were included. Serum was analyzed for circulating miRNA expression of miR-126, - 145, -146a, - 155, - 223, and -374a and eosinophil cationic protein (ECP). Correlations between clinical characteristics and circulating miRNA expression as well as potential miRNA gene targets were investigated. RESULTS: A subset of miRNAs were differentially expressed between allergic and non-allergic asthmatic individuals. Alterations in expression of miR-155, -146a, -374a and - 145 were observed in allergic asthmatics in response to inhaled corticosteroid usage. Additionally, miR-223 and miR-374a expression varied in non-allergic asthmatics based on blood eosinophil numbers. Numerous clinical parameters, including lung function measurements, correlated with subsets of miRNAs. Finally, pathway analysis revealed a potential role for inhaled corticosteroid induced miRNAs in leukocyte regulation, IL-6 signaling and glucocorticoid response. CONCLUSION: Circulating miRNA expression was altered in subjects with allergic and non-allergic asthma and correlated to clinical parameters including lung function and potential gene targets involved in immune processes. This combination of clinical and molecular data may be a basis for the further, more precise classification of asthma subgroups. Taken together, these findings would further asthma research and benefit future patients through the discovery of molecular mechanisms as well as identifying asthma subgroups contributing to the development of personalized medicine.",2020,"['Adult', 'Asthma/*blood/diagnosis/*epidemiology', 'Biomarkers/blood', 'Circulating MicroRNA/*blood', 'Female', 'Humans', 'Hypersensitivity/*blood/diagnosis/*epidemiology', 'Male', 'Middle Aged', 'Sweden/epidemiology']",32381094,hsa-mir-223,no,
MALAT1 knockdown promoted cell viability and migration of LPS-treated MG-63 cells via sponging miR-212.,"BACKGROUND: Most fractures could heal after treatment, around 5-10 % of patients still develop delayed union and nonunion. Evidence has increasingly shown that abnormal expression of long noncoding RNAs is closely related to the occurrence and development of various diseases including fracture healing. However, evidence regarding the effect of MALAT1 on fracture healing remains limited. OBJECTIVES: In this study, we attempt to explore the role of MALAT1 during the process of femoral neck fracture healing and elucidate the underlying mechanism of this disease. METHODS: We first detect the expression of lncRNAs in serums from 3 pairs of patients with delayed femoral neck fracture healing and healthy volunteers using lncRNA microarray. And the expression of long noncoding RNA MALAT1 in serums and LPS-treated MG-63 cells was measured using qRT-PCR. CCK-8 assay, cell migration and qRT-PCR were applied to the role of MALAT1 knockdown in LPS-treated MG-63 cells. ELISA was used for the measurement of inflammatory cytokines in serums of patients and healthy volunteers. The bioinformatics analysis and the rescue experiment were devoted to the underlying mechanism. RESULTS: MALAT1 expression was up-regulated in serum of patients with delayed union of femoral neck fracture. MALAT1 knockdown promoted cell viability and migration, reduced inflammation in LPS-treated MG-63 cells. The bioinformatics analysis showed MALAT1 acts as a molecular sponge for miR-212. And SOX6 was a target of miR-212. Besides, MALAT1 knockdown suppressed SOX6 expression via targeting miR-212 in LPS-treated MG-63 cells. CONCLUSIONS: These data suggest MALAT1 knockdown promoted the biological behavior of LPS-treated MG-63 cells via sponging miR-212, which may provide a new therapeutic avenue for delayed union of femoral neck fracture.",2021 May,"['Adolescent', 'Adult', 'Cell Line, Tumor', '*Cell Movement', 'Cell Survival', 'Female', 'Femoral Neck Fractures/genetics/*metabolism', 'Humans', 'Lipopolysaccharides/toxicity', 'Male', 'MicroRNAs/*genetics/metabolism', 'Middle Aged', 'Osteoblasts/drug effects/metabolism/physiology', 'RNA, Long Noncoding/blood/*genetics/metabolism', 'SOXD Transcription Factors/genetics/metabolism', 'Up-Regulation']",33725277,hsa-mir-212,yes,questionable
[Screening and expression of CD34(+) cell-specific microRNA in acute myelogenous,"OBJECTIVE: To screen and analyze CD34(+) cell specific microRNAs (miRNAs) from the patients with acute myelogenous leukemia (AML) and their expression. METHODS: CD34(+) cells were sorted from AML patients or the mobilized peripheral blood of the donors of hematopoietic stem cell transplantation (normal control subjects) and followed by the extraction of the cell total RNAs. The differentially expressed microRNAs (miRNAs, miR) were selected after hybridizing with miRNA microarray, real time polymerase chain reaction (real-time PCR) was subsequently applied to confirm the expression of the selected miRs, and PCR products were further cloned and sequenced to check their specificity. RESULTS: Of the differentially expressed miRNAs, 191 were found to be at least one-fold change in the CD34(+) cells between the AML patients and the normal control subjects. Of the 191 miRNAs, the expression difference of 94 was significant (P < 0.05). Among these 94 miRNAs, the expression of 44 miRNAs was increased and the other 50 miRNAs was decreased in the CD34(+) cells from the bone marrow of AML patients compared with the CD34(+) cells from the mobilized peripheral blood of the normal control subjects. Real time PCR verified that the expression level of miR-10a and miR-220c in the CD34(+) cells from the bone marrow of AML patients was 19.6% and 19.0% of that of CD34(+) cells from mobilized peripheral blood of the normal control subjects. DNA sequencing and BLAST DNA database searching results indicated that the PCR products were really miR-10a and miR-220c. CONCLUSION: A variety of differentially expressed-miRNAs are existed between AML and normal control subjects CD34(+) cells, the expression of miR-10a and miR-220c was significantly down-regulated in the CD34(+) cells from the bone marrow of AML patients.",2012,"['Antigens, CD34/metabolism', 'Female', '*Hematopoietic Stem Cells', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/metabolism', 'Male', 'MicroRNAs/genetics/*metabolism', 'Middle Aged', 'Oligonucleotide Array Sequence Analysis']",22967414,hsa-mir-10a,no,
